service_request_id,requested_datetime,updated_datetime,source,service_name,description,agency_responsible,address,council_district,status_description,lat,long
5081022,2018-07-02 10:59:00,,UNKNOWN,LIGHTING REPAIR,"LIGHTING REPAIR, STREET LIGHT, STLGT",PUBLIC WORKS ADMINISTRATION," CECIL AVE , LOUISVILLE, KY, 40211",1,CLOSED,38.2468953272,-85.8208608928
5081021,2018-07-02 10:59:28,,UNKNOWN,VAP STRUC TRASH,"PRIVATE PROPERTY, ABANDONED, VACANT STRUCTURE , TRASH, JUNK",IPL-PROPERTY MAINTENANCE DIV.,"5010 INVICTA DR , LOUISVILLE, KY, 40216",3,CLOSED,38.1672685517,-85.8236564255
5080494,2018-07-02 11:00:00,,UNKNOWN,DAMAGE GARB CART,"DAMAGED GARBAGE CART, CARTD, SWMS",SWMS - ADMINISTRATION,"4508 VARBLE AVE , LOUISVILLE, KY, 40211",5,OPEN,38.2492543471,-85.8279508577
5081024,2018-07-02 11:01:17,,UNKNOWN,NGARBAGE QUEST,GARBAGE QUESTIONS,NON SERVICE SWMS,"218 BRAMTON RD , BEECHWOOD VILLAGE, KY, 40207",7,CLOSED,38.2542090009,-85.6299219209
5081025,2018-07-02 11:02:33,,UNKNOWN,VEHICLE PVT PROP,"VEHICLE PRIVATE PROPERTY, ABANDONED, INOPERABLE, NOT LICENSED, AVPRI",IPL-PROPERTY MAINTENANCE DIV.,"4207 SHADY VILLA DR , LOUISVILLE, KY, 40219",2,CLOSED,38.162823451,-85.6831227145
5081026,2018-07-02 11:02:39,,UNKNOWN,EXTERIOR VIOL,"EXTERIOR STRUCTURE VIOLATION, EXTVI",IPL-PROPERTY MAINTENANCE DIV.,"2607 THOMAS AVE , LOUISVILLE, KY, 40216",1,CLOSED,38.1749237374,-85.8408037563
5080693,2018-07-02 11:03:00,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"4302 SHERMAN AVE , LOUISVILLE, KY, 40213",10,CLOSED,38.1934482687,-85.7136435337
5081027,2018-07-02 11:03:27,,UNKNOWN,RECYCLE BINS,"RECYCLE BINS, RECYCLING, NEW RECYB, DAMAGED, MISSING, SWMS",SWMS - ADMINISTRATION,"4508 VARBLE AVE , LOUISVILLE, KY, 40211",5,CLOSED,38.2492543471,-85.8279508577
5081029,2018-07-02 11:04:01,,UNKNOWN,ZONING CONCERNS,"ZONING, ILLEGAL BUSINESS OR SIGNS ON PRIVATE PROPERTY, ILSGN, ZONE",IPL-PROPERTY MAINTENANCE DIV.,"9405 MARSE HENRY DR , JEFFERSONTOWN, KY, 40299",11,CLOSED,38.1811405794,-85.5840904764
5080748,2018-07-02 11:05:00,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"5205 E MANSLICK RD , LOUISVILLE, KY, 40219",23,CLOSED,38.1192173736,-85.6634948946
5081031,2018-07-02 11:05:08,,UNKNOWN,MISCELLANEOUS,"MISCELLANEOUS, MISC, CONCERN, ISSUE",METROPOLITAN SEWER DISTRICT,"2400 FRANKFORT AVE , LOUISVILLE, KY, 40206",9,CLOSED,38.2535788872,-85.6996250367
5043991,2018-07-02 11:06:00,,UNKNOWN,DAMG RECYCL CART,"DAMAGED RECYCLE CART, RECYCLING, RECYD, SWMS",SWMS - ADMINISTRATION,"2153 WINSTON AVE , LOUISVILLE, KY, 40205",8,CLOSED,38.2188306463,-85.6803703065
5081033,2018-07-02 11:06:00,,UNKNOWN,NEW GARBAGE CART,"NEW GARBAGE CART, CARTN, SWMS",SWMS - ADMINISTRATION,"1520 DIXIE HWY , LOUISVILLE, KY, 40210",3,CLOSED,38.227650849,-85.7911646386
5081036,2018-07-02 11:07:00,,UNKNOWN,PARK MAINTAIN,"PARK MAINTENANCE ALL, PKMTN, PKREP, PKREC",METRO PARKS,"1612 OLIVE ST , LOUISVILLE, KY, 40210",3,CLOSED,38.2284896964,-85.800408862
5081037,2018-07-02 11:07:00,,UNKNOWN,MOSQUITOS,"MOSQUITOES, MOSQT",HEALTH DEPT - ENVIR. HEALTH,"2507 BRIARGATE ST , LOUISVILLE, KY, 40216",1,CLOSED,38.1732407014,-85.839354434
5081038,2018-07-02 11:08:00,,UNKNOWN,ABANDON VEHICLE,"ABANDONED VEHICLE ROW, STREET,  ALLEY, AVROW, VEHIC",METRO POLICE DEPARTMENT," W MANSLICK RD , LOUISVILLE, KY, 40272",14,CLOSED,38.1191757629,-85.7952730885
5081039,2018-07-02 11:08:00,,UNKNOWN,OVERGROWTH,"OVERGROWN, WEEDS, GRASS, OBSTRUCTION, ROWOB",LPM," ALFORD AVE , LOUISVILLE, KY, 40212",5,OPEN,38.2663100218,-85.8077140079
5081043,2018-07-02 11:13:00,,UNKNOWN,SIDEWALK REPAIR,"SIDEWALK REPAIR, CRACKED BROKEN RAISED TRIP HAZARD",PUBLIC WORKS INSPECTION GROUP,"2831 BROOKDALE AVE , LOUISVILLE, KY, 40220",18,OPEN,38.2266358542,-85.6266756795
5081044,2018-07-02 11:13:30,,UNKNOWN,TRASH PVT PROP,"TRASH PRIVATE PROPERTY, TRASH, GARBAGE, JUNK",IPL-PROPERTY MAINTENANCE DIV.,"4115 RETREAT RD , LOUISVILLE, KY, 40219",2,CLOSED,38.1614667528,-85.6844629846
5081046,2018-07-02 11:13:50,,UNKNOWN,JUNK MISSED,"JUNK MISSED, JUNKM, SWMS",SWMS - BULK WASTE,"1828 ARLINGTON AVE , LOUISVILLE, KY, 40206",9,CLOSED,38.2548669115,-85.7159088364
5038441,2018-07-02 11:15:00,,UNKNOWN,UTILITY CUT,"UTILITY CUT, PLATES, OBSTRUCTION, RIGHT OF WAY, ROWOB",PUBLIC WORKS INSPECTION GROUP," HINDMAN RICHARDSON CONNECTOR , LOUISVILLE, KY, 40213",21,OPEN,38.169190961,-85.7172040405
5081049,2018-07-02 11:15:57,,UNKNOWN,ALLEY TREE,"ALLEY TREES, OBSTRUCTION, DOWN, BROKEN LIMBS, ROWOB, SWMS",SWMS - BULK WASTE,"1828 ARLINGTON AVE , LOUISVILLE, KY, 40206",9,OPEN,38.2548669115,-85.7159088364
5081054,2018-07-02 11:17:46,,UNKNOWN,DEAD ANIMAL,"DEAD ANIMAL, ANIMD, SWMS",SWMS - WASTE COLLECTION,"1156 ALGONQUIN PKY , LOUISVILLE, KY, 40208",6,CLOSED,38.2168882067,-85.775445427
5081060,2018-07-02 11:20:00,,UNKNOWN,JUNK VIOLATION,"JUNK VIOLATION, JUNKV, SWMS",SWMS - ENFORCEMENT UNIT,"4724 BURKLEY AVE , LOUISVILLE, KY, 40214",21,CLOSED,38.1797160418,-85.7693177015
5081064,2018-07-02 11:21:00,,UNKNOWN,VAP LOT WEEDS,"PRIVATE PROPERTY, VACANT LOT, GRASS, TREES",IPL-PROPERTY MAINTENANCE DIV.,"2301 W KENTUCKY ST , LOUISVILLE, KY, 40210",6,CLOSED,38.2425644658,-85.7919442335
5081068,2018-07-02 11:23:28,,UNKNOWN,VAP STRUC WEEDS,"PRIVATE PROPERTY, ABANDONED, STRUCTURE, GRASS, TREES",IPL-PROPERTY MAINTENANCE DIV.,"109 S 44TH ST , LOUISVILLE, KY, 40212",5,CLOSED,38.2649042191,-85.8195301176
5081074,2018-07-02 11:24:00,,UNKNOWN,STREET TREE,"STREET EASEMENT TREES, OBSTRUCTION, ROWOB",COMMUNITY FORESTRY ARBORIST,"3007 SHERBROOKE RD , LOUISVILLE, KY, 40205",8,CLOSED,38.2127866955,-85.6776163321
5081070,2018-07-02 11:25:00,,UNKNOWN,DAMAGE GARB CART,"DAMAGED GARBAGE CART, CARTD, SWMS",SWMS - ADMINISTRATION,"408 S 39TH ST , LOUISVILLE, KY, 40212",5,CLOSED,38.2581655255,-85.8151594603
5079186,2018-07-02 11:26:00,,UNKNOWN,LIGHTING REPAIR,"LIGHTING REPAIR, STREET LIGHT, STLGT",PUBLIC WORKS ADMINISTRATION,"835 W EVELYN AVE , LOUISVILLE, KY, 40215",15,CLOSED,38.1968686559,-85.774687669
5081072,2018-07-02 11:26:00,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"3836 SOUTHERN PKY , LOUISVILLE, KY, 40214",15,CLOSED,38.1993990269,-85.7670284936
5076354,2018-07-02 11:27:00,,UNKNOWN,DAMAGE GARB CART,"DAMAGED GARBAGE CART, CARTD, SWMS",SWMS - ADMINISTRATION,"3005 HIKES LN , LOUISVILLE, KY, 40220",26,CLOSED,38.2116088794,-85.6405020085
5081076,2018-07-02 11:28:37,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"2200 GRAND AVE , LOUISVILLE, KY, 40210",6,CLOSED,38.2401049428,-85.7899767981
5081079,2018-07-02 11:29:00,,UNKNOWN,TRAFFIC CONCERN,"TRAFFIC CONCERN, SPEED, ILLEGAL PARKING OUTSIDE PARC AREAS, ILLPK, TRAFC",METRO POLICE DEPARTMENT," EASTVIEW AVE , LOUISVILLE, KY, 40205",8,OPEN,38.2192457192,-85.6872576841
5081080,2018-07-02 11:29:00,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"115 N CHARLTON ST , LOUISVILLE, KY, 40206",9,CLOSED,38.2544196303,-85.7187209288
5081081,2018-07-02 11:29:43,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"2209 GRAND AVE , LOUISVILLE, KY, 40210",6,CLOSED,38.2405131134,-85.7902640314
5081085,2018-07-02 11:31:23,,UNKNOWN,ROADSIDE LITTER,"ROADSIDE LITTER, LITTR, SWMS",SWMS - ENFORCEMENT UNIT,"1419 BAXTER AVE , LOUISVILLE, KY, 40204",8,CLOSED,38.2297088112,-85.7155891927
5081087,2018-07-02 11:32:06,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"2208 GRAND AVE , LOUISVILLE, KY, 40210",6,CLOSED,38.2401323344,-85.7903987282
5081088,2018-07-02 11:32:09,,UNKNOWN,MISCELLANEOUS,"MISCELLANEOUS, MISC, CONCERN, ISSUE",SWMS - ADMINISTRATION,"1543 W ORMSBY AVE , LOUISVILLE, KY, 40210",6,CLOSED,38.2348933142,-85.7807087285
5081089,2018-07-02 11:33:00,,UNKNOWN,STREET POTHOLE,"STREET POTHOLE, POTHL",LPM,"4880 CHARLOTTE DR , LOUISVILLE, KY, 40219",2,CLOSED,38.1614627249,-85.6643265174
5081090,2018-07-02 11:34:00,,UNKNOWN,INTERIOR VIOL,"INTERIOR VIOLATION, INCLUDES NO HEAT, ELECTRICAL, INTVI",IPL-PROPERTY MAINTENANCE DIV.,"5306 VALKYRIE WAY 201, LOUISVILLE, KY, 40272",25,CLOSED,38.1076858048,-85.861364278
5078211,2018-07-02 11:36:00,,UNKNOWN,JUNK MISSED,"JUNK MISSED, JUNKM, SWMS",SWMS - BULK WASTE,"242 SAUNDERS AVE , LOUISVILLE, KY, 40206",9,CLOSED,38.2502750616,-85.7040412722
5081092,2018-07-02 11:36:00,,UNKNOWN,RECYCLE BINS,"RECYCLE BINS, RECYCLING, NEW RECYB, DAMAGED, MISSING, SWMS",SWMS - ADMINISTRATION,"996 BARRET AVE , LOUISVILLE, KY, 40204",8,CLOSED,38.2365328871,-85.7284919269
5081093,2018-07-02 11:38:00,,UNKNOWN,MOSQUITOS,"MOSQUITOES, MOSQT",HEALTH DEPT - ENVIR. HEALTH,"7614 NANCY LN , LOUISVILLE, KY, 40258",14,CLOSED,38.1398755039,-85.851505889
5081094,2018-07-02 11:38:41,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"2220 GRAND AVE , LOUISVILLE, KY, 40210",6,CLOSED,38.2401684207,-85.7907860207
5081095,2018-07-02 11:39:00,,UNKNOWN,MISCELLANEOUS,"MISCELLANEOUS, MISC, CONCERN, ISSUE",PUBLIC WORKS - TRAFFIC ENG," BRISTOL OAKS DR , LOUISVILLE, KY, 40299",11,OPEN,38.1868549229,-85.5990459948
5060765,2018-07-02 11:41:00,,UNKNOWN,DAMAGE GARB CART,"DAMAGED GARBAGE CART, CARTD, SWMS",SWMS - ADMINISTRATION,"4144 HAZELWOOD AVE , LOUISVILLE, KY, 40215",15,CLOSED,38.1820144597,-85.7882068761
5081098,2018-07-02 11:41:46,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"2509 GRAND AVE , LOUISVILLE, KY, 40210",6,CLOSED,38.2409159312,-85.7946985314
5066670,2018-07-02 11:43:00,,UNKNOWN,NEW RECYCLE CART,"NEW RECYCLE CART, RECYN, SWMS",SWMS - ADMINISTRATION,"2301 BONNYCASTLE AVE , LOUISVILLE, KY, 40205",8,CLOSED,38.2345820212,-85.6989917616
5066666,2018-07-02 11:44:00,,UNKNOWN,STOLEN GARB CART,"STOLEN GARBAGE CART, CARTS, MISSING, SWMS",SWMS - ADMINISTRATION,"2301 BONNYCASTLE AVE , LOUISVILLE, KY, 40205",8,OPEN,38.2345820212,-85.6989917616
5081103,2018-07-02 11:44:00,,UNKNOWN,TRAFFIC CONCERN,"TRAFFIC CONCERN, SPEED, ILLEGAL PARKING OUTSIDE PARC AREAS, ILLPK, TRAFC",METRO POLICE DEPARTMENT,"4025 RIVER PARK DR , LOUISVILLE, KY, 40211",5,OPEN,38.2558861342,-85.8184261467
5081112,2018-07-02 11:45:00,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"2714 HALE AVE , LOUISVILLE, KY, 40211",1,CLOSED,38.2390835108,-85.79868148
5081104,2018-07-02 11:45:36,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"2626 GRAND AVE , LOUISVILLE, KY, 40211",1,CLOSED,38.2403251558,-85.7972105905
5081105,2018-07-02 11:46:00,,UNKNOWN,GARBAGE MISSED,"GARBAGE MISSED, GARBM, SWMS",SWMS - WASTE COLLECTION,"850 S 32ND ST , LOUISVILLE, KY, 40211",5,OPEN,38.2461612699,-85.8060969403
5081131,2018-07-02 11:46:00,,UNKNOWN,OPEN BURNING,"OPEN BURNING, FIRE, NOT FOOD OR COOKING, FIREO",AIR POLLUTION CONTROL,"7326 PAIUTE RD , LOUISVILLE, KY, 40214",25,CLOSED,38.1490097392,-85.7880826632
5081107,2018-07-02 11:48:00,,UNKNOWN,ABANDON VEHICLE,"ABANDONED VEHICLE ROW, STREET,  ALLEY, AVROW, VEHIC",METRO POLICE DEPARTMENT,"950 CHARLES ST , LOUISVILLE, KY, 40204",10,OPEN,38.2303242816,-85.7364222683
5081108,2018-07-02 11:48:00,,UNKNOWN,GARBAGE VIOLATIO,"GARBAGE VIOLATION, GARBV, SWMS",SWMS - ENFORCEMENT UNIT,"118 S 37TH ST , LOUISVILLE, KY, 40212",5,CLOSED,38.2620444015,-85.8109830036
5077763,2018-07-02 11:49:00,,UNKNOWN,GARBAGE VIOLATIO,"GARBAGE VIOLATION, GARBV, SWMS",SWMS - ENFORCEMENT UNIT,"122 S 37TH ST 1, LOUISVILLE, KY, 40212",5,CLOSED,38.2618239151,-85.8110409628
5081113,2018-07-02 11:51:00,,UNKNOWN,GARBAGE MISSED,"GARBAGE MISSED, GARBM, SWMS",SWMS - WASTE COLLECTION,"2502 W OAK ST , LOUISVILLE, KY, 40210",6,OPEN,38.2376568415,-85.7950470779
5088821,2018-07-02 11:51:00,,UNKNOWN,ILLEGAL DUMPING,"ILLEGAL DUMPING, NOT ON PRIVATE PROPERTY, DUMPV, SWMS",SWMS - ENFORCEMENT UNIT,"1238 GARVIN PL 101, LOUISVILLE, KY, 40203",6,CLOSED,38.2337877179,-85.762492454
5081114,2018-07-02 11:52:00,,UNKNOWN,JUNK VIOLATION,"JUNK VIOLATION, JUNKV, SWMS",SWMS - ENFORCEMENT UNIT,"3003 WEDGEWOOD WAY , LOUISVILLE, KY, 40220",26,CLOSED,38.2199014183,-85.6523261074
5081115,2018-07-02 11:52:32,,UNKNOWN,VAP STRUC WEEDS,"PRIVATE PROPERTY, ABANDONED, STRUCTURE, GRASS, TREES",IPL-PROPERTY MAINTENANCE DIV.,"101 N 34TH ST , LOUISVILLE, KY, 40212",5,CLOSED,38.2623228279,-85.8063770983
5081116,2018-07-02 11:52:46,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"2705 HALE AVE , LOUISVILLE, KY, 40211",1,CLOSED,38.2395135838,-85.7981439441
5081117,2018-07-02 11:53:00,,UNKNOWN,VAP LOT WEEDS,"PRIVATE PROPERTY, VACANT LOT, GRASS, TREES",IPL-PROPERTY MAINTENANCE DIV.,"2534 CROP ST , LOUISVILLE, KY, 40212",5,CLOSED,38.261104602,-85.7928325449
5081119,2018-07-02 11:53:00,,UNKNOWN,MISCELLANEOUS,"MISCELLANEOUS, MISC, CONCERN, ISSUE",LPM,"4301 HUNSINGER LN , LOUISVILLE, KY, 40220",26,CLOSED,38.2016633422,-85.6199242033
5081120,2018-07-02 11:53:58,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"2701 HALE AVE , LOUISVILLE, KY, 40211",1,CLOSED,38.2394828978,-85.7979726623
5081121,2018-07-02 11:54:00,,UNKNOWN,RECYCLING MISSED,"RECYCLING MISSED, RECYM, SWMS",SWMS - WASTE COLLECTION,"410 MOCKINGBIRD VALLEY RD 1, LOUISVILLE, KY, 40207",9,CLOSED,38.2752893741,-85.6929166283
5081129,2018-07-02 11:55:00,,UNKNOWN,RECYCLE BINS,"RECYCLE BINS, RECYCLING, NEW RECYB, DAMAGED, MISSING, SWMS",SWMS - ADMINISTRATION,"1512 CHRISTY AVE , LOUISVILLE, KY, 40204",8,CLOSED,38.2414360129,-85.7266869402
5081126,2018-07-02 11:55:23,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"2639 HALE AVE , LOUISVILLE, KY, 40211",1,CLOSED,38.2394633786,-85.7977876898
5061083,2018-07-02 11:56:00,,UNKNOWN,VAP STRUC WEEDS,"PRIVATE PROPERTY, ABANDONED, STRUCTURE, GRASS, TREES",IPL-PROPERTY MAINTENANCE DIV.,"921 W RIVERSIDE DR , LOUISVILLE, KY, 40207",7,CLOSED,38.2927087078,-85.6743898728
5088823,2018-07-02 11:56:00,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"1204 BRIDGET DR , LOUISVILLE, KY, 40118",13,CLOSED,38.1083653479,-85.74267638
5047826,2018-07-02 11:57:00,,UNKNOWN,VAP LOT WEEDS,"PRIVATE PROPERTY, VACANT LOT, GRASS, TREES",IPL-PROPERTY MAINTENANCE DIV.,"931 RIVERSIDE DR , LOUISVILLE, KY, 40207",7,CLOSED,38.2930570077,-85.6733025141
5081079,2018-07-02 11:57:00,,UNKNOWN,TRAFFIC CONCERN,"TRAFFIC CONCERN, SPEED, ILLEGAL PARKING OUTSIDE PARC AREAS, ILLPK, TRAFC",METRO POLICE DEPARTMENT," EASTVIEW AVE , LOUISVILLE, KY, 40205",8,OPEN,38.2192457192,-85.6872576841
5081132,2018-07-02 11:57:00,,UNKNOWN,VAP STRUC WEEDS,"PRIVATE PROPERTY, ABANDONED, STRUCTURE, GRASS, TREES",IPL-PROPERTY MAINTENANCE DIV.,"928 E RIVERSIDE DR , LOUISVILLE, KY, 40207",7,CLOSED,38.2930683112,-85.6728253328
5081133,2018-07-02 11:57:00,,UNKNOWN,STREET POTHOLE,"STREET POTHOLE, POTHL",LPM," CENTRAL AVE , LOUISVILLE, KY, 40208",15,CLOSED,38.2058741217,-85.7731502467
5081134,2018-07-02 11:58:09,,UNKNOWN,RECYCLE BINS,"RECYCLE BINS, RECYCLING, NEW RECYB, DAMAGED, MISSING, SWMS",SWMS - ADMINISTRATION,"518 AUBURNDALE AVE , LOUISVILLE, KY, 40214",21,CLOSED,38.1723561402,-85.7749668184
5081138,2018-07-02 11:59:43,,UNKNOWN,VAP STRUC WEEDS,"PRIVATE PROPERTY, ABANDONED, STRUCTURE, GRASS, TREES",IPL-PROPERTY MAINTENANCE DIV.,"1109 S 32ND ST , LOUISVILLE, KY, 40211",1,CLOSED,38.2409761637,-85.8062957793
5081140,2018-07-02 12:00:00,,UNKNOWN,STOP SIGN REPAIR,"STOP SIGN REPAIR, GRAFFITI ON STOP SIGN, STOPR, GRFTI",PUBLIC WORKS - SIGNS MARKINGS," BROWNSBORO RD , LOUISVILLE, KY, 40206",9,OPEN,38.258780838,-85.6978232091
5081141,2018-07-02 12:00:00,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"1105 S 32ND ST , LOUISVILLE, KY, 40211",1,CLOSED,38.2411469023,-85.8062611325
5081145,2018-07-02 12:01:00,,UNKNOWN,VEHICLE PVT PROP,"VEHICLE PRIVATE PROPERTY, ABANDONED, INOPERABLE, NOT LICENSED, AVPRI",IPL-PROPERTY MAINTENANCE DIV.,"5714 JEANINE DR , LOUISVILLE, KY, 40219",2,CLOSED,38.1655079835,-85.6881465279
5081148,2018-07-02 12:01:00,,UNKNOWN,VEHICLE PVT PROP,"VEHICLE PRIVATE PROPERTY, ABANDONED, INOPERABLE, NOT LICENSED, AVPRI",IPL-PROPERTY MAINTENANCE DIV.,"5713 JEANINE DR , LOUISVILLE, KY, 40219",2,CLOSED,38.1656906523,-85.687586608
5081149,2018-07-02 12:01:00,,UNKNOWN,VEHICLE PVT PROP,"VEHICLE PRIVATE PROPERTY, ABANDONED, INOPERABLE, NOT LICENSED, AVPRI",IPL-PROPERTY MAINTENANCE DIV.,"5711 JEANINE DR , LOUISVILLE, KY, 40219",2,CLOSED,38.1658416225,-85.6875930715
5081144,2018-07-02 12:01:33,,UNKNOWN,VAP STRUC WEEDS,"PRIVATE PROPERTY, ABANDONED, STRUCTURE, GRASS, TREES",IPL-PROPERTY MAINTENANCE DIV.,"1120 S 32ND ST , LOUISVILLE, KY, 40211",1,CLOSED,38.2405512196,-85.8068577643
5081150,2018-07-02 12:02:00,,UNKNOWN,RECYCLING MISSED,"RECYCLING MISSED, RECYM, SWMS",SWMS - WASTE COLLECTION,"509 BRENTWOOD AVE , LOUISVILLE, KY, 40215",15,CLOSED,38.1950361342,-85.7690533009
5081151,2018-07-02 12:03:00,,UNKNOWN,EXTERIOR VIOL,"EXTERIOR STRUCTURE VIOLATION, EXTVI",IPL-PROPERTY MAINTENANCE DIV.,"3236 HERMAN ST , LOUISVILLE, KY, 40212",5,CLOSED,38.2587104937,-85.8064390012
5081152,2018-07-02 12:03:00,,UNKNOWN,STOP SIGN REPAIR,"STOP SIGN REPAIR, GRAFFITI ON STOP SIGN, STOPR, GRFTI",PUBLIC WORKS - SIGNS MARKINGS," S 5TH ST , LOUISVILLE, KY, 40214",15,OPEN,38.196713381,-85.768415386
5081155,2018-07-02 12:04:30,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"2607 HALE AVE , LOUISVILLE, KY, 40211",1,CLOSED,38.2393290664,-85.7965242746
5081156,2018-07-02 12:05:00,,UNKNOWN,VAP LOT WEEDS,"PRIVATE PROPERTY, VACANT LOT, GRASS, TREES",IPL-PROPERTY MAINTENANCE DIV.,"7712 SHEPHERDSVILLE RD , LOUISVILLE, KY, 40219",24,CLOSED,38.1376145311,-85.6581045134
5081159,2018-07-02 12:07:30,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"2241 HALE AVE , LOUISVILLE, KY, 40210",6,CLOSED,38.2388085189,-85.7922753972
5081160,2018-07-02 12:07:49,,UNKNOWN,RECYCLE BINS,"RECYCLE BINS, RECYCLING, NEW RECYB, DAMAGED, MISSING, SWMS",SWMS - ADMINISTRATION,"1117 DRESDEN AVE , LOUISVILLE, KY, 40215",15,CLOSED,38.1972069198,-85.780527515
5081161,2018-07-02 12:08:35,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"2129 W OAK ST , LOUISVILLE, KY, 40210",6,CLOSED,38.2376580857,-85.7899632264
5081162,2018-07-02 12:08:50,,UNKNOWN,VAP STRUC WEEDS,"PRIVATE PROPERTY, ABANDONED, STRUCTURE, GRASS, TREES",IPL-PROPERTY MAINTENANCE DIV.,"540 CAMP ST , LOUISVILLE, KY, 40203",4,CLOSED,38.231368347,-85.7460637753
5080895,2018-07-02 12:10:00,,UNKNOWN,DEAD ANIMAL,"DEAD ANIMAL, ANIMD, SWMS",SWMS - WASTE COLLECTION," SHELBYVILLE RD , MIDDLETOWN, KY, 40245",19,CLOSED,38.2415822095,-85.4984741486
5081164,2018-07-02 12:10:00,,UNKNOWN,MISCELLANEOUS,"MISCELLANEOUS, MISC, CONCERN, ISSUE",LPM,"2121 GRINSTEAD DR , LOUISVILLE, KY, 40204",8,CLOSED,38.2398806597,-85.7187020403
5081169,2018-07-02 12:13:00,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"625 EDITH RD , LOUISVILLE, KY, 40206",9,CLOSED,38.2635152224,-85.7082251071
5081170,2018-07-02 12:13:00,,UNKNOWN,ACCESS PARK ZONE,"ACCESSIBLE PARKING ZONE, PERMIT, APZ",PUBLIC WORKS ADMINISTRATION,"1014 S 40TH ST , LOUISVILLE, KY, 40211",5,OPEN,38.2445646577,-85.8186901043
5081168,2018-07-02 12:13:24,,UNKNOWN,ACCESS PARK ZONE,"ACCESSIBLE PARKING ZONE, PERMIT, APZ",PUBLIC WORKS ADMINISTRATION,"2636 VIRGINIA AVE , LOUISVILLE, KY, 40211",1,OPEN,38.2375023818,-85.7980000982
5081171,2018-07-02 12:14:00,,UNKNOWN,ILLEGAL DUMPING,"ILLEGAL DUMPING, NOT ON PRIVATE PROPERTY, DUMPV, SWMS",SWMS - ENFORCEMENT UNIT," OUTER LOOP , LOUISVILLE, KY, 40219",13,CLOSED,38.1367160985,-85.7022954761
5003908,2018-07-02 12:16:00,,UNKNOWN,SPEED HUMPS,"SPEED HUMPS, SPHMP",PUBLIC WORKS - TRAFFIC ENG," OAKS WAY , LOUISVILLE, KY, 40299",11,OPEN,38.1839986704,-85.5998522011
